setting,method,scope,target_id,outer_fold,phase,auc
smollm2,combined,phase_fold_mean,,,smollm2_validation,0.6226574951163536
smollm2,fisher,phase_fold_mean,,,smollm2_confirmation,0.6106165105268732
smollm2,fisher,phase_fold_mean,,,smollm2_validation,0.5990793996986455
smollm2,geometry_only,phase_fold_mean,,,smollm2_confirmation,0.5642754266401806
smollm2,geometry_only,phase_fold_mean,,,smollm2_validation,0.5600947317349597
smollm2,geometry_position,phase_fold_mean,,,smollm2_confirmation,0.5620065426162524
smollm2,geometry_position,phase_fold_mean,,,smollm2_validation,0.556002869657787
smollm2,mean_only,phase_fold_mean,,,smollm2_confirmation,0.6077709552386364
smollm2,mean_only,phase_fold_mean,,,smollm2_validation,0.6096522022210767
smollm2,min_k_plus_plus_20,phase_fold_mean,,,smollm2_confirmation,0.6070325363216607
smollm2,min_k_plus_plus_20,phase_fold_mean,,,smollm2_validation,0.5984240874495873
smollm2,negative_loss,phase_fold_mean,,,smollm2_confirmation,0.5815676894282795
smollm2,negative_loss,phase_fold_mean,,,smollm2_validation,0.5816731407516258
smollm2,ordinary,phase_fold_mean,,,smollm2_confirmation,0.6146860537035803
smollm2,ordinary,phase_fold_mean,,,smollm2_validation,0.5954936763225688
smollm2,rich_likelihood,phase_fold_mean,,,smollm2_confirmation,0.6333713396368723
smollm2,rich_likelihood,phase_fold_mean,,,smollm2_validation,0.6226574951163536
smollm2,without_concentration,phase_fold_mean,,,smollm2_confirmation,0.615205846771263
smollm2,without_concentration,phase_fold_mean,,,smollm2_validation,0.5989717995749925
smollm2,without_divergence,phase_fold_mean,,,smollm2_confirmation,0.5987923144055937
smollm2,without_divergence,phase_fold_mean,,,smollm2_validation,0.5917735583906265
smollm2,without_geometry,phase_fold_mean,,,smollm2_confirmation,0.6051835838239678
smollm2,without_geometry,phase_fold_mean,,,smollm2_validation,0.5966944468505987
smollm2,without_likelihood,phase_fold_mean,,,smollm2_confirmation,0.5649220721499393
smollm2,without_likelihood,phase_fold_mean,,,smollm2_validation,0.5723929367611819
smollm2,without_peak,phase_fold_mean,,,smollm2_confirmation,0.601844417927001
smollm2,without_peak,phase_fold_mean,,,smollm2_validation,0.6022998352713057
smollm2,without_trajectory,phase_fold_mean,,,smollm2_confirmation,0.6126472408451613
smollm2,without_trajectory,phase_fold_mean,,,smollm2_validation,0.5923094630817511
